id,text,lat,lon
1608,High Riggs,55.945334,-3.202102
1610,Ponton Street,55.9437,-3.2059
1611,Candlemaker Row,55.946951,-3.192865
1615,Leith Walk,55.9705,-3.1719
1618,Ramsay House,55.956542,-3.239913
1619,Cramond,55.9705707,-3.3065489
1624,Calton,55.9561687,-3.1744939
1626,Writers' Court,55.949939,-3.190555
1627,Blackford,55.9258059,-3.1900889
1628,North Loch,55.950135,-3.200252
1630,Braid Hills,55.9135184,-3.2013963
1631,Gibb's Close,55.950561,-3.183239
1632,Waterloo Place,55.9536,-3.1854
1635,Brown's Close,55.9523,-3.1769
1636,London Street,55.959,-3.1924
1639,Paul's Work,55.952685,-3.185354
1641,Corstorphine Hill,55.9534686,-3.2733947
1645,Hunter's Bog,55.9478369,-3.1654679
1659,Beechwood House,55.943947,-3.264409
1661,Lothian Road,55.9475,-3.2061
1662,Randolph Crescent,55.951934,-3.211707
1663,Ramsay House,55.976952,-3.192122
1666,Bruntsfield,55.9366176,-3.2073772
1667,Barnton,55.9588104,-3.2992912
1671,Gorgie,55.93574,-3.2414663
1673,Queensferry Street,55.9514,-3.211
1674,Hanover Street,55.9535,-3.1973
1675,Cumberland Street,55.9586,-3.2
1678,Colinton,55.908095,-3.253874
1680,Duddingston,55.9440662,-3.1371653
1685,Habbie's Howe,55.842957,-3.300606
1706,Bedford Street,55.9584,-3.2143
1710,Cafe Royal,55.95385,-3.190459
1724,Union Canal,55.9651,-3.642215
1749,Whitekirk,56.016525,-2.631951
1752,Linlithgow,55.975533,-3.603987
1861,Linlithgow Palace,55.97801,-3.60143
1871,Balm Well,55.9028966,-3.1642422
1878,Dunglass,55.938675,-2.376166
1879,Haddington,55.947523,-2.786161
1902,St Giles,55.9493396,-3.1905294
1941,Glenesk,55.85802,-3.077091
1960,Gosford,55.998517,-2.885
1963,Auldhame,56.05391,-2.640719
1977,Innerwick,55.952674,-2.440967
2007,Morrison's Haven,55.952803,-3.004676
2008,Newbattle Abbey,55.880379,-3.070581
2023,South Inch,55.884483,-3.619255
2094,Arthur's Seat,55.9441043,-3.1618477
2109,Kirkliston,55.9557628,-3.4019771
2110,St Giles's,55.9493396,-3.1905294
2112,Restalrig,55.9613749,-3.1476473
2114,Pinkie House,55.943492,-3.044447
2117,Hailes Castle,55.973222,-2.683287
2118,East Linton,55.986292,-2.655837
2130,Bass Rock,56.076542,-2.640983
2133,Edinburgh Castle,55.948645,-3.200732
2144,University of Edinburgh,55.94739,-3.181893
2167,Scottish Parliament,55.951976,-3.175371
2170,Edinburg,55.949428,-3.192704
2176,Physic Garden,55.951584,-3.187722
2178,County Buildings,55.976428,-3.600771
2212,Roslin,55.863625,-3.167939
2222,Charlotte Square,55.9522329,-3.2070063
2240,Leith Docks,55.978479,-3.167761
2246,Dalmeny,55.9820556,-3.3744684
2250,Leith Walk,55.9602,-3.1824
2252,Hill Street,55.9534,-3.2024
2253,Glasgow Road,55.9422,-3.2968
2271,Albany Street,55.9573,-3.1911
2305,Leith Walk,55.961534,-3.180819
2321,York Lane,55.957,-3.1896
2332,Salisbury Crags,55.946807,-3.170443
2347,Edinboro,55.949428,-3.192704
2348,Newington,55.9393149,-3.1808547
2352,Traprain Law,55.960291,-2.678782
2353,Newington Road,55.9382,-3.1787
2381,Broad Wynd,55.9756,-3.1697
2382,Grassmarket,55.947546,-3.196406
2389,Waters' Close,55.9754,-3.1702
2444,Caledonia Hotel,55.823452,-3.716441
2450,Chapel Royal,55.953068,-3.171544
2458,Canongate Tolbooth,55.951472,-3.179895
2462,George Hotel,55.954151,-3.196338
2772,Union Hotel,55.950142,-3.188159
2844,Leith Walk,55.9586,-3.1836
2861,Edinburgh Academy,55.960699,-3.20394
2888,Nicolson Street,55.9451,-3.1841
