id,text,document_id,location_id,sentence_id
1523,Edinburgh,4,91,1523
1526,Niddry Mains,4,571,1526
1529,Niddry Mains,4,571,1529
1531,Niddry Mains,4,571,1531
1532,Edinburgh,4,91,1532
1534,Edinburgh,4,91,1534
1536,Edinburgh,4,91,1536
1538,Auld Reekie,4,186,1538
1539,Edinburgh,4,91,1539
1544,Edinburgh,4,91,1544
1545,Edinburgh,4,91,1545
1548,Niddry Mains,4,571,1548
1549,Niddry Mains,4,571,1549
1554,Niddry Mains,4,571,1554
1555,Edinburgh,4,91,1555
1559,Royal Scottish Academy,4,584,1559
1560,Princes Street,4,528,1560
1563,Edinburgh,4,91,1563
1571,Edina,4,587,1571
1574,Edinburgh,4,91,1574
1579,Firth of Forth,4,189,1579
1599,Forth,4,247,1599
1606,Forth,4,247,1606
1631,Edinburgh,4,91,1631
1644,Edinburgh,4,91,1644
1651,Waverley Station,4,229,1651
1662,Edinburgh,4,91,1662
1669,Forth,4,247,1669
1671,Edinburgh,4,91,1671
1712,Edinburgh,4,91,1712
1716,Edinburgh,4,91,1716
1721,Edinburgh,4,91,1721
1723,Edinburgh,4,91,1723
1724,Granton,4,211,1724
1725,Forth,4,247,1725
1727,Edinburgh,4,91,1727
1736,Edinburgh,4,91,1736
1765,Edinburgh,4,91,1765
1767,Auld Reekie,4,186,1767
1768,Princes Street,4,528,1768
1769,Edinburgh,4,91,1769
1770,Edinburgh,4,91,1770
1772,Auld Reekie,4,186,1772
1775,Princes Street,4,528,1775
1792,Edinburgh,4,91,1792
1819,Edinburgh,4,91,1819
1820,Edinburgh,4,91,1820
1825,Auld Reekie,4,186,1825
1827,Edinburgh,4,91,1827
1828,Edina,4,587,1828
1831,Edinburgh,4,91,1831
1857,Auld Reekie,4,186,1857
1859,Haymarket,4,686,1859
1864,Edinburgh,4,91,1864
1865,Edinburgh,4,91,1865
1891,Edinburgh,4,91,1891
1892,Leith Walk,4,691,1892
1893,Edinburgh,4,91,1893
1898,Edinburgh,4,91,1898
1902,Edinburgh,4,91,1902
1907,Edinburgh,4,91,1907
1913,Edinburgh,4,91,1913
1916,Edinburgh Academy,4,694,1916
1921,Edinburgh,4,91,1921
1923,Edinburgh,4,91,1923
1924,Edinburgh,4,91,1924
1926,Edinburgh,4,91,1926
1927,Edinburgh,4,91,1927
1929,Auld Reekie,4,186,1929
1930,Edinburgh,4,91,1930
1940,Edinburgh,4,91,1940
1949,West End,4,700,1949
1989,Princes Street,4,528,1989
1990,Auld Reekie,4,186,1990
2000,Embro,4,714,2000
2013,Edinburgh,4,91,2013
2022,Queen Street,4,552,2022
2023,Auld Reekie,4,186,2023
2027,Edinburgh,4,91,2027
2029,Edinburgh,4,91,2029
2038,Edinburgh,4,91,2038
2043,Edinburgh,4,91,2043
2045,Edinburgh,4,91,2045
2046,Crichton,4,727,2046
2094,Edinburgh,4,91,2094
2096,Edinburgh,4,91,2096
2121,Edinburgh,4,91,2121
2159,Edinburgh,4,91,2159
2165,Arthur's Seat,4,759,2165
2184,Edinburgh,4,91,2184
2196,Edinburgh,4,91,2196
2212,Edinburgh,4,91,2212
2213,Auld Reekie,4,186,2213
2218,Dunedin,4,764,2218
2219,Dunedin,4,764,2219
2220,Dunedin,4,764,2220
2224,Queen's Arms,4,765,2224
2230,Dunedin,4,764,2230
2232,Edinburgh,4,91,2232
2233,Edinburgh,4,91,2233
2234,Dunedin,4,764,2234
2246,Dunedin,4,764,2246
2261,Queen's Arms,4,765,2261
2262,Dunedin,4,764,2262
2299,Edinburgh,4,91,2299
2332,Edinburgh,4,91,2332
2338,Edinburgh,4,91,2338
2360,Dunedin,4,764,2360
2361,Edinburgh,4,91,2361
2365,Edinburgh,4,91,2365
2631,Haymarket,5,686,2631
2821,Duke's Head,5,901,2821
2824,High Street,5,205,2824
2826,High Street,5,205,2826
2827,High Street,5,205,2827
2865,Edinburgh,5,91,2865
3099,Edinburgh,5,91,3099
3101,Edinburgh,5,91,3101
3102,Edinburgh,5,91,3102
3103,Holyrood Palace,5,207,3103
3104,High Street,5,205,3104
3105,Edinburgh Castle,5,948,3105
3106,Cowgate,5,555,3106
3107,Old Town,5,90,3107
3108,Calton Hill,5,188,3108
3110,Edinburgh,5,91,3110
3112,Calton Hill,5,188,3112
3115,New Town,5,210,3115
3116,Edinburgh,5,91,3116
3117,Old Town,5,90,3117
3119,Old Town,5,90,3119
3120,Old Town,5,90,3120
3121,New Town,5,210,3121
3122,Old Town,5,90,3122
3126,Old Town,5,90,3126
3127,High Street,5,205,3127
3128,Cowgate,5,555,3128
3129,Tolbooth,5,949,3129
3131,High Street,5,205,3131
3132,Cowgate,5,555,3132
3133,High Street,5,205,3133
3134,Edinburgh,5,91,3134
3136,Edinburgh,5,91,3136
3138,High Street,5,205,3138
3139,Cowgate,5,555,3139
3140,High Street,5,205,3140
3141,High Street,5,205,3141
3142,Old Town,5,90,3142
3143,Edinburgh,5,91,3143
3147,Edinburgh,5,91,3147
3148,Old Town,5,90,3148
3151,Edinburgh,5,91,3151
3153,Edinburgh,5,91,3153
3154,Holyrood Palace,5,207,3154
3158,Edinburgh,5,91,3158
3159,High Street,5,205,3159
3160,Edinburgh,5,91,3160
3161,Edinburgh,5,91,3161
3164,Old Town,5,90,3164
3165,Edinburgh,5,91,3165
3166,Leith Street,5,956,3166
3168,Edinburgh,5,91,3168
3170,Market Street,5,957,3170
3172,Edinburgh,5,91,3172
3174,Edinburgh,5,91,3174
3177,Edinburgh,5,91,3177
