id,text_x,document_id,location_id,text,lat,lon,title,forename,surname,pubyear,gender,genre
444,Mons Meg,1,219,Mons Meg,55.9487741,-3.2001579,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
444,Mons Meg,1,219,Mons Meg,55.9487741,-3.2001579,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
455,Castle Street,1,223,Castle Street,55.9521,-3.2033,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
455,Castle Street,1,223,Castle Street,55.9521,-3.2033,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
466,North Bridge,1,227,North Bridge,55.9518,-3.1883,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
466,North Bridge,1,227,North Bridge,55.9518,-3.1883,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
472,Prince's Gardens,1,228,Prince's Gardens,55.9497435,-3.2019502,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
472,Prince's Gardens,1,228,Prince's Gardens,55.9497435,-3.2019502,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
473,Waverley Station,1,229,Waverley Station,55.951727,-3.191506,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
473,Waverley Station,1,229,Waverley Station,55.951727,-3.191506,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
516,Greyfriars Church,1,239,Greyfriars Church,55.9466769,-3.1926782,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
516,Greyfriars Church,1,239,Greyfriars Church,55.9466769,-3.1926782,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
525,Duddingstone,1,243,Duddingstone,55.9420116,-3.1506163,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
525,Duddingstone,1,243,Duddingstone,55.9420116,-3.1506163,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
533,Forth,1,247,Forth,56.054591,-3.718683,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
533,Forth,1,247,Forth,56.054591,-3.718683,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
538,Harmony House,1,251,Harmony House,55.930155,-3.204209,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
538,Harmony House,1,251,Harmony House,55.930155,-3.204209,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
541,Water of Leith,1,253,Water of Leith,55.9794536,-3.1711848,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
541,Water of Leith,1,253,Water of Leith,55.9794536,-3.1711848,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
542,Dean Cemetery,1,254,Dean Cemetery,55.950909,-3.222725,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
542,Dean Cemetery,1,254,Dean Cemetery,55.950909,-3.222725,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
548,Heart of Midlothian,1,255,Heart of Midlothian,55.9495655,-3.1914772,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
548,Heart of Midlothian,1,255,Heart of Midlothian,55.9495655,-3.1914772,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
554,Corstorphine,1,257,Corstorphine,55.9446703,-3.2817379,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
554,Corstorphine,1,257,Corstorphine,55.9446703,-3.2817379,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
555,Linlithgow,1,258,Linlithgow,55.97748,-3.585477,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
555,Linlithgow,1,258,Linlithgow,55.97748,-3.585477,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
1045,Argyle Place,1,442,Argyle Place,55.939,-3.1915,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
1045,Argyle Place,1,442,Argyle Place,55.939,-3.1915,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
1046,Regent Street,1,443,Regent Street,55.9533,-3.1115,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
1046,Regent Street,1,443,Regent Street,55.9533,-3.1115,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
1073,Assembly Rooms,1,450,Assembly Rooms,56.001808,-2.51397,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
1073,Assembly Rooms,1,450,Assembly Rooms,56.001808,-2.51397,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,history
1220,Buckstone,1,498,Buckstone,55.9099122,-3.2113993,"Varieties in Prose, vol. 2", William,Allingham,1893-01-01,m,travel
